DOY,Hour,latitude,radiation,temperature,VPD,wind_speed,precipitation
90,0,33,0,18,1.007262774,2.07725649,0
90,1,33,0,18.27,1.007262774,2.07725649,0
90,2,33,0,19.07,1.007262774,2.07725649,0
90,3,33,0,20.34,1.007262774,2.07725649,0
90,4,33,0,22,1.007262774,2.07725649,0
90,5,33,0,23.93,1.007262774,2.07725649,0
90,6,33,0,26,1.007262774,2.07725649,0
90,7,33,258.819,28,1.007262774,2.07725649,0
90,8,33,500,29.73,1.007262774,2.07725649,0
90,9,33,707.107,31.07,1.007262774,2.07725649,0
90,10,33,866.025,32,1.007262774,2.07725649,0
90,11,33,965.926,32.46,1.007262774,2.07725649,0
90,12,33,1000,32.46,1.007262774,2.07725649,0
90,13,33,965.926,32,1.007262774,2.07725649,0
90,14,33,866.025,34,1.007262774,2.07725649,0
90,15,33,707.107,32,1.007262774,2.07725649,0
90,16,33,500,31.07,1.007262774,2.07725649,0
90,17,33,258.819,29.73,1.007262774,2.07725649,0
90,18,33,0,28,1.007262774,2.07725649,0
90,19,33,0,26,1.007262774,2.07725649,0
90,20,33,0,23.93,1.007262774,2.07725649,0
90,21,33,0,22,1.007262774,2.07725649,0
90,22,33,0,20.34,1.007262774,2.07725649,0
90,23,33,0,19.07,1.007262774,2.07725649,0
90,0,33,0,18,1.007262774,2.07725649,0
90,1,33,0,18,1.007262774,2.07725649,0
90,2,33,0,18.27,1.007262774,2.07725649,0
90,3,33,0,19.07,1.007262774,2.07725649,0
90,4,33,0,20.34,1.007262774,2.07725649,0
90,5,33,0,22,1.007262774,2.07725649,0
90,6,33,0,23.93,1.007262774,2.07725649,0
90,7,33,258.819,26,1.007262774,2.07725649,0
90,8,33,500,28,1.007262774,2.07725649,0
90,9,33,707.107,29.73,1.007262774,2.07725649,0
90,10,33,866.025,31.07,1.007262774,2.07725649,0
90,11,33,965.926,32,1.007262774,2.07725649,0
90,12,33,1000,32.46,1.007262774,2.07725649,0
90,13,33,965.926,32.46,1.007262774,2.07725649,0
90,14,33,866.025,32,1.007262774,2.07725649,0
90,15,33,707.107,34,1.007262774,2.07725649,0
90,16,33,500,32,1.007262774,2.07725649,0
90,17,33,258.819,31.07,1.007262774,2.07725649,0
90,18,33,0,29.73,1.007262774,2.07725649,0
90,19,33,0,28,1.007262774,2.07725649,0
90,20,33,0,26,1.007262774,2.07725649,0
90,21,33,0,23.93,1.007262774,2.07725649,0
90,22,33,0,22,1.007262774,2.07725649,0
90,23,33,0,20.34,1.007262774,2.07725649,0
90,0,33,0,19.07,1.007262774,2.07725649,0
90,1,33,0,18,1.007262774,2.07725649,0
90,2,33,0,18,1.007262774,2.07725649,0
90,3,33,0,18.27,1.007262774,2.07725649,0
90,4,33,0,19.07,1.007262774,2.07725649,0
90,5,33,0,20.34,1.007262774,2.07725649,0
90,6,33,0,22,1.007262774,2.07725649,0
90,7,33,258.819,23.93,1.007262774,2.07725649,0
90,8,33,500,26,1.007262774,2.07725649,0
90,9,33,707.107,28,1.007262774,2.07725649,0
90,10,33,866.025,29.73,1.007262774,2.07725649,0
90,11,33,965.926,31.07,1.007262774,2.07725649,0
90,12,33,1000,32,1.007262774,2.07725649,0
90,13,33,965.926,32.46,1.007262774,2.07725649,0
90,14,33,866.025,32.46,1.007262774,2.07725649,0
90,15,33,707.107,32,1.007262774,2.07725649,0
90,16,33,500,34,1.007262774,2.07725649,0
90,17,33,258.819,32,1.007262774,2.07725649,0
90,18,33,0,31.07,1.007262774,2.07725649,0
90,19,33,0,29.73,1.007262774,2.07725649,0
90,20,33,0,28,1.007262774,2.07725649,0
90,21,33,0,26,1.007262774,2.07725649,0
90,22,33,0,23.93,1.007262774,2.07725649,0
90,23,33,0,22,1.007262774,2.07725649,0
90,0,33,0,20.34,1.007262774,2.07725649,0
90,1,33,0,19.07,1.007262774,2.07725649,0
90,2,33,0,18,1.007262774,2.07725649,0
90,3,33,0,18,1.007262774,2.07725649,0
90,4,33,0,18.27,1.007262774,2.07725649,0
90,5,33,0,19.07,1.007262774,2.07725649,0
90,6,33,0,20.34,1.007262774,2.07725649,0
90,7,33,258.819,22,1.007262774,2.07725649,0
90,8,33,500,23.93,1.007262774,2.07725649,0
90,9,33,707.107,26,1.007262774,2.07725649,0
90,10,33,866.025,28,1.007262774,2.07725649,0
90,11,33,965.926,29.73,1.007262774,2.07725649,0
90,12,33,1000,31.07,1.007262774,2.07725649,0
90,13,33,965.926,32,1.007262774,2.07725649,0
90,14,33,866.025,32.46,1.007262774,2.07725649,0
90,15,33,707.107,32.46,1.007262774,2.07725649,0
90,16,33,500,32,1.007262774,2.07725649,0
90,17,33,258.819,34,1.007262774,2.07725649,0
90,18,33,0,32,1.007262774,2.07725649,0
90,19,33,0,31.07,1.007262774,2.07725649,0
90,20,33,0,29.73,1.007262774,2.07725649,0
90,21,33,0,28,1.007262774,2.07725649,0
90,22,33,0,26,1.007262774,2.07725649,0
90,23,33,0,23.93,1.007262774,2.07725649,0
